 Libcell,Min_delay,Avg_delay,Max_delay

 SDFFXRPQ_X1N_A9PP84TL_C14 ,0.030,0.0788,0.085
 AOI211_X2N_A9PP84TR_C16 ,0.030,0.03,0.030
 NOR2_X2R_A9PP84TSL_C14 ,0.006,0.007500000000000006,0.013
 OAI211_X1N_A9PP84TSL_C16 ,0.020,0.0205,0.021
 AOI211_X3N_A9PP84TSL_C14 ,0.014,0.016,0.018
 SDFFXRPQ_X1N_A9PP84TR_C16 ,0.024,0.08163248730964465,0.115
 NAND4_X1N_A9PP84TL_C16 ,0.026,0.0275,0.029
 NAND3_X4R_A9PP84TR_C14 ,0.013,0.01675,0.021
 INV_X8F_A9PP84TSL_C16 ,0.009,0.012333333333333333,0.014
 PREICG_X16R_A9PP84TL_C14 ,0.014,0.02159596510359885,0.032
 AOI22_X4N_A9PP84TR_C14 ,0.010,0.013809523809523817,0.016
 INV_X20F_A9PP84TR_C16 ,0.006,0.008299999999999998,0.025
 SDFFXRPQ_X1N_A9PP84TL_C16 ,0.050,0.05,0.050
 INV_X28R_A9PP84TR_C14 ,0.004,0.004,0.004
 NOR2_X2R_A9PP84TSL_C16 ,0.016,0.016,0.016
 DLY4_X1N_A9PP84TR_C16 ,0.037,0.05872477064220186,0.156
 INV_X24F_A9PP84TSL_C14 ,0.008,0.008,0.008
 AOI22_X3R_A9PP84TR_C14 ,0.011,0.0152,0.018
 NAND3_X4R_A9PP84TR_C16 ,0.027,0.027,0.027
 NAND2_X8R_A9PP84TR_C14 ,0.011,0.013642857142857142,0.016
 INV_X16R_A9PP84TR_C14 ,0.005,0.005333333333333333,0.006
 INV_X3R_A9PP84TSL_C14 ,0.006,0.00913698630136987,0.033
 PREICG_X16R_A9PP84TL_C16 ,0.030,0.030000000000000016,0.030
 NAND3_X1N_A9PP84TSL_C14 ,0.015,0.06538461538461537,0.081
 MX2_X2N_A9PP84TSL_C14 ,0.013,0.017,0.025
 BUF_X1N_A9PP84TR_C14 ,0.013,0.017,0.021
 NAND2_X8R_A9PP84TL_C14 ,0.011,0.011428571428571427,0.012
 AOI22_X1P5R_A9PP84TSL_C14 ,0.014,0.0155,0.017
 NAND2_X2R_A9PP84TSL_C14 ,0.007,0.012303571428571436,0.018
 AOI21_X1P5N_A9PP84TSL_C16 ,0.019,0.019,0.019
 INV_X3R_A9PP84TSL_C16 ,0.024,0.024,0.024
 NAND2_X8TN_A9PP84TSL_C14 ,0.008,0.011131578947368428,0.014
 INV_X8F_A9PP84TR_C14 ,0.005,0.0058000000000000005,0.007
 AOI22_X3N_A9PP84TSL_C14 ,0.012,0.014199999999999999,0.016
 INV_X10R_A9PP84TSL_C14 ,0.005,0.007117021276595589,0.015
 BUF_X1N_A9PP84TR_C16 ,0.010,0.020749999999999994,0.047
 MX2_X2N_A9PP84TSL_C16 ,0.013,0.015666666666666666,0.017
 OAI22_X4N_A9PP84TSL_C16 ,0.011,0.011,0.011
 AO21A1AI2_X3N_A9PP84TL_C14 ,0.016,0.016,0.016
 INV_X8F_A9PP84TL_C14 ,0.006,0.006,0.006
 NAND2_X2R_A9PP84TSL_C16 ,0.012,0.012,0.012
 BUF_X1N_A9PP84TL_C16 ,0.017,0.07938095238095241,0.102
 AOI22_X3N_A9PP84TSL_C16 ,0.010,0.010166666666666666,0.011
 INV_X8F_A9PP84TR_C16 ,0.010,0.01,0.010
 INV_X10R_A9PP84TSL_C16 ,0.006,0.006,0.006
 INV_X6N_A9PP84TR_C14 ,0.005,0.03563414634146342,0.049
 OAI21_X3N_A9PP84TSL_C14 ,0.012,0.012,0.012
 SDFFXRPQ_X2N_A9PP84TSL_C14 ,0.020,0.02078000000000001,0.045
 BUF_X14N_A9PP84TSL_C14 ,0.013,0.015874906924795422,0.021
 NAND2_X8N_A9PP84TSL_C14 ,0.015,0.015,0.015
 PREICG_X6N_A9PP84TL_C14 ,0.031,0.05394186046511628,0.062
 XNOR2_X1TN_A9PP84TSL_C14 ,0.015,0.0155,0.017
 INV_X6N_A9PP84TL_C14 ,0.005,0.01,0.011
 INV_X16N_A9PP84TSL_C14 ,0.005,0.0066,0.010
 NOR2_X4F_A9PP84TSL_C14 ,0.008,0.009000000000000001,0.012
 AOI21_X2N_A9PP84TSL_C14 ,0.012,0.015428571428571434,0.018
 INV_X6N_A9PP84TR_C16 ,0.008,0.010150000000000003,0.016
 MXT2_X2N_A9PP84TR_C14 ,0.031,0.031,0.031
 PREICG_X5R_A9PP84TL_C14 ,0.031,0.035,0.039
 AOI22_X1F_A9PP84TR_C14 ,0.019,0.03808333333333334,0.071
 SDFFXRPQ_X2N_A9PP84TSL_C16 ,0.026,0.0315,0.048
 BUF_X32N_A9PP84TSL_C14 ,0.014,0.01678378378378379,0.020
 NAND4_X1R_A9PP84TSL_C14 ,0.012,0.013000000000000001,0.014
 INV_X5R_A9PP84TL_C14 ,0.006,0.007,0.008
 OR3_X1N_A9PP84TL_C16 ,0.014,0.014,0.014
 AOI2XB1_X1N_A9PP84TR_C16 ,0.046,0.046,0.046
 INV_X14F_A9PP84TR_C14 ,0.005,0.006625000000000001,0.012
 BUFH_X1N_A9PP84TSL_C14 ,0.023,0.02525,0.027
 PREICG_X6N_A9PP84TL_C16 ,0.036,0.03684878744650522,0.049
 PREICG_X12N_A9PP84TL_C14 ,0.022,0.022,0.022
 MXT2_X2N_A9PP84TL_C14 ,0.023,0.025857142857142856,0.028
 AOI22_X1F_A9PP84TL_C14 ,0.018,0.0205,0.023
 INV_X5R_A9PP84TR_C16 ,0.006,0.0195,0.056
 INV_X16N_A9PP84TSL_C16 ,0.004,0.004,0.004
 INVP_X1F_A9PP84TSL_C14 ,0.009,0.01085384615384615,0.014
 AOI21_X2N_A9PP84TSL_C16 ,0.014,0.017,0.019
 AOI21B_X2N_A9PP84TSL_C14 ,0.013,0.02057142857142857,0.026
 OAI31_X3N_A9PP84TSL_C14 ,0.012,0.011999999999999823,0.012
 MXT2_X2N_A9PP84TR_C16 ,0.025,0.025500000000000002,0.026
 PREICG_X5R_A9PP84TL_C16 ,0.025,0.025000000000000005,0.025
 AO1B2_X1N_A9PP84TR_C16 ,0.007,0.031789473684210534,0.043
 AOI22_X1F_A9PP84TR_C16 ,0.008,0.027499999999999986,0.060
 INV_X5R_A9PP84TL_C16 ,0.006,0.0104,0.016
 AO21B_X2N_A9PP84TSL_C14 ,0.008,0.014039473684210534,0.024
 INV_X14F_A9PP84TR_C16 ,0.005,0.0055,0.006
 NOR2XB_X2N_A9PP84TR_C14 ,0.032,0.032,0.032
 INV_X5F_A9PP84TSL_C14 ,0.006,0.011215384615384624,0.015
 INV_X12N_A9PP84TR_C14 ,0.005,0.006874999999999999,0.009
 MXT2_X2N_A9PP84TL_C16 ,0.027,0.029666666666666664,0.034
 BUFH_X5N_A9PP84TR_C14 ,0.014,0.014,0.014
 AO1B2_X1N_A9PP84TL_C16 ,0.024,0.024,0.024
 AOI31_X2N_A9PP84TSL_C14 ,0.015,0.0155,0.016
 BUF_X7N_A9PP84TR_C14 ,0.014,0.016666666666666666,0.020
 SDFFRPQ_X4N_A9PP84TL_C14 ,0.033,0.033,0.033
 NOR3_X6N_A9PP84TSL_C14 ,0.014,0.014000000000000058,0.014
 INV_X14F_A9PP84TL_C16 ,0.005,0.005,0.005
 DFFRPQ_X2N_A9PP84TR_C16 ,0.071,0.07466666666666666,0.081
 AOI31_X1N_A9PP84TR_C16 ,0.010,0.028777777777777784,0.046
 OA21A1OI2_X1N_A9PP84TR_C14 ,0.045,0.045,0.045
 NAND2_X3R_A9PP84TR_C14 ,0.016,0.016,0.016
 BUFH_X5N_A9PP84TL_C14 ,0.009,0.0134,0.017
 NOR2XB_X2N_A9PP84TR_C16 ,0.021,0.027999999999999997,0.033
 AOI21_X3N_A9PP84TR_C14 ,0.012,0.024750000000000005,0.064
 INV_X5F_A9PP84TSL_C16 ,0.006,0.006333333333333333,0.007
 INV_X12N_A9PP84TR_C16 ,0.005,0.006918367346938781,0.007
 BUFH_X5N_A9PP84TR_C16 ,0.026,0.026,0.026
 NOR3BB_X2N_A9PP84TSL_C14 ,0.017,0.02125,0.029
 INV_X12F_A9PP84TSL_C14 ,0.005,0.009430656934306586,0.014
 BUF_X7N_A9PP84TR_C16 ,0.014,0.01575,0.018
 NOR2XB_X2N_A9PP84TL_C16 ,0.012,0.012,0.012
 OA21A1OI2_X1N_A9PP84TR_C16 ,0.025,0.033,0.039
 AND4_X1N_A9PP84TR_C16 ,0.023,0.023333333333333334,0.024
 NAND2_X4N_A9PP84TL_C16 ,0.013,0.013333333333333334,0.014
 NAND2_X3R_A9PP84TR_C16 ,0.016,0.016,0.016
 NOR2_X4TN_A9PP84TSL_C14 ,0.010,0.01,0.010
 XOR2_X1N_A9PP84TL_C14 ,0.024,0.0275,0.031
 AOI22_X2R_A9PP84TSL_C14 ,0.011,0.01447619047619048,0.027
 INV_X3F_A9PP84TR_C14 ,0.014,0.014,0.014
 OAI21B_X1N_A9PP84TR_C16 ,0.013,0.013,0.013
 NAND2_X3TN_A9PP84TR_C14 ,0.012,0.012,0.012
 OAI22_X1R_A9PP84TR_C14 ,0.028,0.028,0.028
 XOR2_X1N_A9PP84TR_C16 ,0.006,0.009382352941176475,0.015
 INV_X12F_A9PP84TSL_C16 ,0.008,0.008,0.008
 BUFH_X12N_A9PP84TR_C14 ,0.009,0.009,0.009
 DLY2_X4N_A9PP84TR_C16 ,0.023,0.027779999999999996,0.040
 INV_X8R_A9PP84TSL_C14 ,0.005,0.0063496402877697075,0.018
 NAND3_X6N_A9PP84TSL_C14 ,0.020,0.02,0.020
 XOR2_X1N_A9PP84TL_C16 ,0.005,0.012,0.019
 INV_X3F_A9PP84TR_C16 ,0.012,0.0155,0.019
